mount_type,vendor,model_number,height,display_color,network_ports,power_ports,cpu,memory,storage,comment,network_port_name_1,network_port_name_2,network_port_name_3,network_port_name_4
asset,Brian Asset,Asset 1 Blank,1,#baddad,0,0,,,,,,,,
asset,Brian Asset,Asset 2 Comment 1,1,#2233fc,0,0,,,,Ñ‣$₹ॹ༻࿌😀🧟🧞,,,,
asset,Brian Asset,Asset 2 Comment 2,1,#2233fc,0,0,,,,"“This comment, it has a comma” ",,,,
asset,Brian Asset,Asset 2 Comment 2,1,#2233fc,0,0,,,,“This field is in quotes”,,,,
asset,Brian Asset,Asset 2 Comment 2,1,#2233fc,0,0,,,,"“This field, with “”quotes,”” is in quotes” ",,,,
asset,Brian Asset,Asset 2 All Constants,1,#cad946,0,0,Intel i7 8600,16,Kingston NVM SSD,Arbitrary Comment,,,,
asset,Brian Asset,Asset 3 Net 1 Imp,1,#666deb,1,0,,,,,,,,
asset,Brian Asset,Asset 3 Net 1 Exp,1,#666deb,1,0,,,,,exp1,,,
asset,Brian Asset,Asset 3 Net 2 Imp,1,#666deb,2,0,,,,,,,,
asset,Brian Asset,Asset 3 Net 2 Exp,1,#666deb,2,0,,,,,exp1,exp2,,
asset,Brian Asset,Asset 3 Net 3 Imp,1,#666deb,3,0,,,,,,,,
asset,Brian Asset,Asset 3 Net 3 Exp,1,#666deb,3,0,,,,,exp1,exp2,exp3,
asset,Brian Asset,Asset 3 Net 4 Imp,1,#666deb,4,0,,,,,,,,
asset,Brian Asset,Asset 3 Net 4 Exp,1,#666deb,4,0,,,,,exp1,exp2,exp3,exp4
asset,Brian Asset,Asset 4 Power 1,1,#bed747,0,1,,,,,,,,
asset,Brian Asset,Asset 4 Power 2,1,#bed748,0,2,,,,,,,,
asset,Brian Asset,Asset 5 Conn 11 Imp,1,#314bae,1,1,,,,,,,,
asset,Brian Asset,Asset 5 Conn 11 Exp,1,#314bae,1,1,,,,,exp1,,,
asset,Brian Asset,Asset 5 Conn 12 Imp,1,#314bae,1,2,,,,,,,,
asset,Brian Asset,Asset 5 Conn 12 Exp,1,#314bae,1,2,,,,,exp1,,,
asset,Brian Asset,Asset 5 Conn 21 Imp,1,#314bae,2,1,,,,,,,,
asset,Brian Asset,Asset 5 Conn 21 Exp,1,#314bae,2,1,,,,,exp1,exp2,,
asset,Brian Asset,Asset 5 Conn 22 Imp,1,#314bae,2,2,,,,,,,,
asset,Brian Asset,Asset 5 Conn 22 Exp,1,#314bae,2,2,,,,,exp1,exp2,,
asset,Brian Asset,Asset 6 Str Conn,1,#dec456,2,2,AMD Rayzeon,32,None,,,,,
asset,Brian Asset,Asset 7 Full Height 1,1,#dddddd,4,4,Intel i5 3200,196,Seagate FireEater 3200,This is a really long comment with a bunch of characters lol,exp1,exp2,exp3,exp4
asset,Brian Asset,Asset 7 Full Height 2,2,#dddddd,4,4,Intel i5 3200,196,Seagate FireEater 3200,Another really long comment but I’m going to put a single apostraphe,exp1,exp2,exp3,exp4
chassis,Brian Chassis,Chassis 1 Blank,10,#bacc00,0,0,,,,,,,,
chassis,Brian Chassis,Chassis 2 Constants,10,#faaa55,0,0,Chassis DRIVER 5,48,Depends on the blade lol,Small little comment,,,,
chassis,Brian Chassis,Chassis 3 Power 1,10,#564738,0,1,,,,,,,,
chassis,Brian Chassis,Chassis 3 Power 2,10,#564738,0,2,,,,,,,,
chassis,Brian Chassis,Chassis 4 Net 1,10,#5ace17,1,0,,,,,,,,
chassis,Brian Chassis,Chassis 4 Net 2,10,#5ace17,2,0,,,,,,,,
chassis,Brian Chassis,Chassis 5 Conn 11,10,#c7a913,1,1,,,,,,,,
chassis,Brian Chassis,Chassis 5 Conn 22,10,#c7a913,2,2,,,,,cha1,cha2,,
chassis,Brian Chassis,Chassis 6 Full,10,#aaffaa,4,4,Chassis WORK CPU 2,1024,15 different bricks,A fairly regular comment about this particular blade chassis,allnt1,allnt2,allnt3,allnt4
chassis,Brian Chassis,Chassis 6 2x Height,20,#aaffaa,4,4,Chassis WORK CPU 2,1024,15 different bricks,A fairly regular comment about this particular blade chassis,allnt1,allnt2,allnt3,allnt4
blade,Brian Blade,Blade 1 Blank,,#b1ade1,,,,,,,,,,
blade,Brian Blade,Blade 2 Constants,,#b1ade2,,,Blade 2 CPU,8,Toshiba 2TB HDD,"“This model is something arbitrary, like everything else”",,,,
